cohort,isolate,drug,raw,cal,y
sl_ext,SAMEA2533690,RIF,0.5753433704376221,0.5789473684210527,0
sl_ext,SAMEA2533702,RIF,0.0771099403500557,0.04435483870967742,0
sl_ext,SAMEA2533713,RIF,0.5797964334487915,0.5789473684210527,0
sl_ext,SAMEA2533720,RIF,0.9897950291633606,0.9784735812133072,1
sl_ext,SAMEA2533753,RIF,0.08847177773714066,0.04435483870967742,0
sl_ext,SAMEA2533765,RIF,0.08826695382595062,0.04435483870967742,0
sl_ext,SAMEA2533809,RIF,0.35024452209472656,0.2857142857142857,0
sl_ext,SAMEA2533865,RIF,0.2054421454668045,0.11538461538461539,0
sl_ext,SAMEA2533915,RIF,0.08847177773714066,0.04435483870967742,0
sl_ext,SAMEA2533929,RIF,0.4686830937862396,0.5471698113207548,0
sl_ext,SAMEA2533942,RIF,0.2729087173938751,0.12871287128712872,0
sl_ext,SAMEA2533994,RIF,0.9825971722602844,0.9784735812133072,1
sl_ext,SAMEA2534021,RIF,0.08984584361314774,0.04435483870967742,0
sl_ext,SAMEA2534031,RIF,0.25870242714881897,0.12871287128712872,0
sl_ext,SAMEA2534034,RIF,0.26682761311531067,0.12871287128712872,0
sl_ext,SAMEA2534074,RIF,0.5336863994598389,0.5789473684210527,0
sl_ext,SAMEA2534148,RIF,0.05719538778066635,0.03232323232323232,0
sl_ext,SAMEA2534204,RIF,0.9327272176742554,0.90625,1
sl_ext,SAMEA2534237,RIF,0.08847177773714066,0.04435483870967742,0
sl_ext,SAMEA2534243,RIF,0.4905739724636078,0.5471698113207548,0
sl_ext,SAMEA2534287,RIF,0.4205021858215332,0.5471698113207548,0
sl_ext,SAMEA2534293,RIF,0.09285910427570343,0.0810126582278481,0
sl_ext,SAMEA2534340,RIF,0.07758139073848724,0.04435483870967742,0
sl_ext,SAMEA2534401,RIF,0.08227136731147766,0.04435483870967742,0
sl_ext,SAMEA2534408,RIF,0.16381579637527466,0.10227272727272728,0
sl_ext,SAMEA2534409,RIF,0.19601866602897644,0.10911280863776417,0
sl_ext,SAMEA2534424,RIF,0.09722380340099335,0.0810126582278481,0
sl_ext,SAMEA2534429,RIF,0.5974950194358826,0.5789473684210527,0
sl_ext,SAMEA2534435,RIF,0.09886705130338669,0.0810126582278481,0
sl_ext,SAMEA2534452,RIF,0.08826695382595062,0.04435483870967742,0
sl_ext,SAMEA2534453,RIF,0.09285910427570343,0.0810126582278481,0
sl_ext,SAMEA2534512,RIF,0.47060686349868774,0.5471698113207548,0
sl_ext,SAMEA2534521,RIF,0.7471187710762024,0.65625,0
sl_ext,SAMEA2534522,RIF,0.25870242714881897,0.12871287128712872,0
sl_ext,SAMEA2534527,RIF,0.3951864242553711,0.5471698113207548,0
sl_ext,SAMEA2534540,RIF,0.07758139073848724,0.04435483870967742,0
sl_ext,SAMEA2534557,RIF,0.08847177773714066,0.04435483870967742,0
sl_ext,SAMEA2534632,RIF,0.07758139073848724,0.04435483870967742,0
sl_ext,SAMEA2534641,RIF,0.43838658928871155,0.5471698113207548,0
sl_ext,SAMEA2534660,RIF,0.09285910427570343,0.0810126582278481,0
sl_ext,SAMEA2534705,RIF,0.10061462968587875,0.0810126582278481,0
sl_ext,SAMEA2534728,RIF,0.08984584361314774,0.04435483870967742,0
sl_ext,SAMEA2534762,RIF,0.25870242714881897,0.12871287128712872,0
sl_ext,SAMEA2534794,RIF,0.19155824184417725,0.10227272727272728,0
sl_ext,SAMEA2534802,RIF,0.9550096392631531,0.9441964285714286,1
sl_ext,SAMEA2534807,RIF,0.9893009066581726,0.9784735812133072,1
sl_ext,SAMEA2534839,RIF,0.8714203834533691,0.8902439024390244,0
sl_ext,SAMEA2534856,RIF,0.08531223237514496,0.04435483870967742,0
sl_ext,SAMEA2534857,RIF,0.35024452209472656,0.2857142857142857,0
sl_ext,SAMEA2534913,RIF,0.15093643963336945,0.0810126582278481,0
sl_ext,SAMEA2534939,RIF,0.35024452209472656,0.2857142857142857,0
sl_ext,SAMEA2534954,RIF,0.09285910427570343,0.0810126582278481,0
sl_ext,SAMEA2534975,RIF,0.09886705130338669,0.0810126582278481,0
sl_ext,SAMEA2535001,RIF,0.08984584361314774,0.04435483870967742,0
sl_ext,SAMEA2535009,RIF,0.5299206972122192,0.5789473684210527,0
sl_ext,SAMEA2535012,RIF,0.9772672653198242,0.96875,1
sl_ext,SAMEA2535046,RIF,0.9890314936637878,0.9784735812133072,1
sl_ext,SAMEA2535059,RIF,0.9771187901496887,0.96875,1
sl_ext,SAMEA2535067,RIF,0.08984584361314774,0.04435483870967742,0
sl_ext,SAMEA2535078,RIF,0.10774489492177963,0.0810126582278481,0
