query_accession	run_accession	sample_accession	fastq_url
ERS5282095	ERR4797079	SAMEA7525621	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797079/ERR4797079_2.fastq.gz
ERS5317739	ERR4828666	SAMEA7561103	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/006/ERR4828666/ERR4828666_1.fastq.gz
ERS5317739	ERR4828666	SAMEA7561103	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/006/ERR4828666/ERR4828666_2.fastq.gz
ERS6403585	ERR8976017	SAMEA8719140	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/007/ERR8976017/ERR8976017_1.fastq.gz
ERS6403585	ERR8976017	SAMEA8719140	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/007/ERR8976017/ERR8976017_2.fastq.gz
ERS5317598	ERR4828525	SAMEA7560962	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4828525/ERR4828525_1.fastq.gz
ERS5317598	ERR4828525	SAMEA7560962	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4828525/ERR4828525_2.fastq.gz
ERS5317315	ERR4828242	SAMEA7560679	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/002/ERR4828242/ERR4828242_1.fastq.gz
ERS5317315	ERR4828242	SAMEA7560679	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/002/ERR4828242/ERR4828242_2.fastq.gz
ERS5281570	ERR4796639	SAMEA7525095	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796639/ERR4796639_1.fastq.gz
ERS5281570	ERR4796639	SAMEA7525095	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796639/ERR4796639_2.fastq.gz
ERS3371701	ERR3287486	SAMEA5569679	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/006/ERR3287486/ERR3287486_1.fastq.gz
ERS3371701	ERR3287486	SAMEA5569679	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR328/006/ERR3287486/ERR3287486_2.fastq.gz
ERS5317606	ERR4828533	SAMEA7560970	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/003/ERR4828533/ERR4828533_1.fastq.gz
ERS5317606	ERR4828533	SAMEA7560970	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/003/ERR4828533/ERR4828533_2.fastq.gz
ERS5320955	ERR4832008	SAMEA7564324	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4832008/ERR4832008_1.fastq.gz
ERS5320955	ERR4832008	SAMEA7564324	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4832008/ERR4832008_2.fastq.gz
ERS5298679	ERR4810652	SAMEA7542227	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/002/ERR4810652/ERR4810652_1.fastq.gz
ERS5298679	ERR4810652	SAMEA7542227	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/002/ERR4810652/ERR4810652_2.fastq.gz
ERS6403045	ERR8975472	SAMEA8718600	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/002/ERR8975472/ERR8975472_1.fastq.gz
ERS6403045	ERR8975472	SAMEA8718600	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/002/ERR8975472/ERR8975472_2.fastq.gz
ERS5317258	ERR4828185	SAMEA7560622	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4828185/ERR4828185_1.fastq.gz
ERS5317258	ERR4828185	SAMEA7560622	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4828185/ERR4828185_2.fastq.gz
