query_accession	run_accession	sample_accession	fastq_url
PRJEB7727	ERR552125	SAMEA2534429	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552125/ERR552125_2.fastq.gz
PRJEB7727	ERR552132	SAMEA2534435	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552132/ERR552132_1.fastq.gz
PRJEB7727	ERR552132	SAMEA2534435	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552132/ERR552132_2.fastq.gz
PRJEB7727	ERR552159	SAMEA2534452	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552159/ERR552159_1.fastq.gz
PRJEB7727	ERR552159	SAMEA2534452	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552159/ERR552159_2.fastq.gz
PRJEB7727	ERR552246	SAMEA2534512	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552246/ERR552246_1.fastq.gz
PRJEB7727	ERR552246	SAMEA2534512	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552246/ERR552246_2.fastq.gz
PRJEB7727	ERR552247	SAMEA2534512	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552247/ERR552247_1.fastq.gz
PRJEB7727	ERR552247	SAMEA2534512	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552247/ERR552247_2.fastq.gz
PRJEB7727	ERR552259	SAMEA2534521	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552259/ERR552259_1.fastq.gz
PRJEB7727	ERR552259	SAMEA2534521	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552259/ERR552259_2.fastq.gz
PRJEB7727	ERR552261	SAMEA2534522	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552261/ERR552261_1.fastq.gz
PRJEB7727	ERR552261	SAMEA2534522	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552261/ERR552261_2.fastq.gz
PRJEB7727	ERR552281	SAMEA2534540	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552281/ERR552281_1.fastq.gz
PRJEB7727	ERR552281	SAMEA2534540	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552281/ERR552281_2.fastq.gz
PRJEB7727	ERR552309	SAMEA2534557	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552309/ERR552309_1.fastq.gz
PRJEB7727	ERR552309	SAMEA2534557	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552309/ERR552309_2.fastq.gz
PRJEB7727	ERR552310	SAMEA2534557	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552310/ERR552310_1.fastq.gz
PRJEB7727	ERR552310	SAMEA2534557	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552310/ERR552310_2.fastq.gz
PRJEB7727	ERR552411	SAMEA2534632	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552411/ERR552411_1.fastq.gz
PRJEB7727	ERR552411	SAMEA2534632	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552411/ERR552411_2.fastq.gz
PRJEB7727	ERR552521	SAMEA2534705	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552521/ERR552521_1.fastq.gz
PRJEB7727	ERR552521	SAMEA2534705	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552521/ERR552521_2.fastq.gz
PRJEB7727	ERR552658	SAMEA2534802	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552658/ERR552658_1.fastq.gz
PRJEB7727	ERR552658	SAMEA2534802	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552658/ERR552658_2.fastq.gz
PRJEB7727	ERR552728	SAMEA2534856	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552728/ERR552728_1.fastq.gz
PRJEB7727	ERR552728	SAMEA2534856	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552728/ERR552728_2.fastq.gz
PRJEB7727	ERR552853	SAMEA2534954	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552853/ERR552853_1.fastq.gz
PRJEB7727	ERR552853	SAMEA2534954	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552853/ERR552853_2.fastq.gz
PRJEB7727	ERR552921	SAMEA2535001	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552921/ERR552921_1.fastq.gz
PRJEB7727	ERR552921	SAMEA2535001	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552921/ERR552921_2.fastq.gz
PRJEB7727	ERR552930	SAMEA2535009	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552930/ERR552930_1.fastq.gz
PRJEB7727	ERR552930	SAMEA2535009	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552930/ERR552930_2.fastq.gz
PRJEB7727	ERR553024	SAMEA2535078	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553024/ERR553024_1.fastq.gz
PRJEB7727	ERR553024	SAMEA2535078	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553024/ERR553024_2.fastq.gz
PRJEB7727	ERR553037	SAMEA2535087	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553037/ERR553037_1.fastq.gz
PRJEB7727	ERR553037	SAMEA2535087	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553037/ERR553037_2.fastq.gz
PRJEB7727	ERR553046	SAMEA2535095	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553046/ERR553046_1.fastq.gz
PRJEB7727	ERR553046	SAMEA2535095	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553046/ERR553046_2.fastq.gz
PRJEB7727	ERR553130	SAMEA2535158	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553130/ERR553130_1.fastq.gz
PRJEB7727	ERR553130	SAMEA2535158	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/ERR553130/ERR553130_2.fastq.gz
